,ISBN,result
54,1417785454,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $17.20  \n\n\n   \n     1 Used from $4.95         1 New from $17.20      ', '  Paperback  \n    \n                             from $290.99                \n\n\n   \n     1 Used from $290.99         1 New from $290.99      ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     26 Used from $2.79         2 New from $7.99      ', '  MP3 CD  \n $9.99  \n\n\n   \n     4 New from $8.46      '], '1417785454')"
55,0961472839,"(['  Hardcover  \n    \n                             from $43.10                \n\n\n   \n     2 Used from $43.10      ', '  Paperback  \n    \n                             from $46.91                \n\n\n   \n     1 New from $46.91      '], '0961472839')"
56,0007172125,"(['  Kindle  \n $19.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $45.10  \n\n\n   \n     18 Used from $6.99         3 New from $42.95      ', '  Paperback  \n $22.27  \n\n\n   \n     5 Used from $18.64         4 New from $17.17      '], '0007172125')"
57,1602852049,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $13.99 to buy    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $5.48  \n\n\n   \n     9 Used from $2.91      ', '  Paperback  \n $10.97  \n\n\n   \n     177 Used from $0.99         30 New from $6.99         1 Collectible from $10.95      ', '  Mass Market Paperback  \n $22.39  \n\n\n   \n     1 Used from $32.45         3 New from $22.39      ', '  MP3 CD  \n $9.99  \n\n\n   \n     2 Used from $11.00         3 New from $9.01      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '1602852049')"
58,0839824866,"(['  Hardcover  \n $74.50  \n\n\n   \n     2 Used from $74.50         1 Collectible from $175.00      ', '  Paperback  \n $23.98  \n\n\n   \n     3 Used from $23.98         1 New from $35.00         1 Collectible from $14.95      ', '  Mass Market Paperback  \n $13.09  \n\n\n   \n     6 Used from $5.00      '], '0839824866')"
59,1932386343,"(['  Hardcover  \n $28.84  \n\n\n   \n     20 Used from $3.95         1 New from $52.19      '], '1932386343')"
60,0393332039,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $16.99  \n\n\n   \n     26 Used from $1.95         9 New from $13.00         4 Collectible from $8.00      ', '  Paperback  \n $16.99  \n\n\n   \n     26 Used from $1.95         17 New from $12.99      '], '0393332039')"
61,207058299X,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n    \n                             from $24.59                \n\n\n   \n     2 Used from $24.59         2 New from $26.60      ', '  Paperback  \n $7.04  \n\n\n   \n     7 Used from $2.00      ', '  Mass Market Paperback  \n $6.39  \n\n\n   \n     20 Used from $2.56         11 New from $6.39         1 Collectible from $29.00      ', '  Audio CD  \n $125.00  \n\n\n   \n     1 New from $125.00      ', '  Pocket Book  \n $8.76  \n\n\n   \n     20 Used from $3.06         15 New from $8.76      '], '207058299X')"
62,0330447106,"(['  Kindle  \n $13.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.83  \n\n\n   \n     42 Used from $3.00         4 New from $25.43         1 Collectible from $10.00      ', '  Paperback  \n $10.56  \n\n\n   \n     44 Used from $1.96         5 New from $30.66      ', '  Audio CD  \n $20.95  \n\n\n   \n     1 Used from $29.78         2 New from $16.95      '], '0330447106')"
63,9643631672,"([], '9643631672')"
