,ISBN,result
58,0813325293,"(['  Hardcover  \n $4.95 - $60.00  \n\n\n   \n     4 Used from $4.95         1 New from $60.00      ', '  Paperback  \n $4.75  \n\n\n   \n     14 Used from $4.75         1 Collectible from $18.06      '], '0813325293')"
59,0141183144,"([], '0141183144')"
60,3453431103,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $14.48  \n\n\n   \n     2 Used from $14.48         2 New from $94.95      '], '3453431103')"
61,0874518261,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $40.99  \n\n\n   \n     5 New from $40.79      ', '  Paperback  \n $28.66  \n\n\n   \n     11 Used from $1.99         1 New from $28.66      ', '  Mass Market Paperback  \n $5.98  \n\n\n   \n     26 Used from $2.10         2 New from $9.72         2 Collectible from $4.25      ', '  Audio, Cassette  \n    \n                             from $8.79                \n\n\n   \n     1 Used from $8.79      '], '0874518261')"
62,0312977409,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $27.95  \n\n\n   \n     1 Used from $17.61         1 New from $27.95      ', '  Mass Market Paperback  \n $9.99  \n\n\n   \n     64 Used from $1.00         3 Collectible from $4.75      ', '  MP3 CD  \n $24.95  \n\n\n   \n     2 Used from $13.99         1 New from $24.95      '], '0312977409')"
63,0022681620,"(['  Hardcover  \n $5.20  \n\n\n   \n     27 Used from $2.25         1 New from $319.00         2 Collectible from $18.00      ', '  Paperback  \n $7.35  \n\n\n   \n     161 Used from $0.99         9 New from $7.75         5 Collectible from $3.70      '], '0022681620')"
64,184046710X,"(['  Paperback  \n $38.71  \n\n\n   \n     6 Used from $6.98      '], '184046710X')"
65,1592244904,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.99  \n\n\n   \n     1 Used from $24.16         10 New from $16.99      ', '  Paperback  \n $17.49  \n\n\n   \n     1 Used from $8.00         1 New from $17.49      ', '  Mass Market Paperback  \n $3.89  \n\n\n   \n     1 Used from $3.89      ', '  Audio CD  \n $9.97  \n\n\n   \n     1 Used from $10.79         1 New from $9.97      '], '1592244904')"
66,0385420951,"(['  Hardcover  \n $7.09  \n\n\n   \n     30 Used from $1.96         6 New from $18.00         15 Collectible from $4.00      ', '  Paperback  \n $7.99  \n\n\n   \n     51 Used from $1.43         4 New from $6.91         1 Collectible from $4.25      ', '  Mass Market Paperback  \n $16.72  \n\n\n   \n     4 Used from $4.25         1 Collectible from $19.96      '], '0385420951')"
67,2070429334,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $42.36  \n\n\n   \n     3 New from $42.36      ', '  Paperback  \n $7.41  \n\n\n   \n     1 New from $7.41      ', '  Pocket Book  \n $27.95  \n\n\n   \n     2 Used from $6.98         1 New from $27.95      '], '2070429334')"
